P,seed,n_samples,Eprim_eV,Evir_eV,tau_prim,tau_vir,max_radius_nm
32,552000,9000,-0.02707259315527884,-0.026911434526761712,0.5212249488026451,0.5684240608652563,17.6538696427925
32,552001,9000,-0.02692854554519474,-0.026926037584321123,0.5271738747779376,0.5371273751971816,16.445600105518047
32,552002,9000,-0.026989888485949874,-0.02673298716029357,0.5243419809269981,0.5219417924716646,18.184007729207035
32,552003,9000,-0.027042819260017784,-0.02697234580664386,0.5157412630258155,0.5654234054858045,17.614789438598734
32,552004,9000,-0.0269031359692417,-0.026879829034990185,0.5,0.5371956808788788,17.078412322997742
32,552005,9000,-0.026933331283269985,-0.02692492549499954,0.5653091541837099,0.5308185028729963,17.569654219424525
32,552006,9000,-0.026980066401740208,-0.027000056261212914,0.5053413086369257,0.578108174300836,16.65710732836653
32,552007,9000,-0.026780069144611097,-0.026958334552944094,0.5,0.5765726237421586,16.989231087692545
80,580000,9000,-0.02673110252083837,-0.026785252243861187,0.5232462573067294,0.5077749176096774,16.544786790841123
80,580001,9000,-0.02680987363480948,-0.026695457095049144,0.5164985511626617,0.5140463518650011,17.07410841303198
80,580002,9000,-0.026341271528190623,-0.026648293044367322,0.5010904922979581,0.5877297919734017,17.473001083219877
80,580003,9000,-0.026474004343595318,-0.02657439414626198,0.5813229447501931,0.5363342449661924,16.722935682648817
80,580004,9000,-0.02648927170234802,-0.026829662071266525,0.5,0.5506187324488869,18.031021734034393
80,580005,9000,-0.02671354696384036,-0.026552788932256183,0.5188583808086219,0.5785104075049787,17.807157116424968
80,580006,9000,-0.02691329123451521,-0.026830891531319203,0.5208243623049605,0.5210765379556805,18.364026558078095
80,580007,9000,-0.02670709260444964,-0.0265788757754001,0.5412579389844903,0.5459083567499748,16.90624796296633
